Program,A step by step description in a programming language of a process that achieves some useful result.
Public  private  protected specifiers,A public attribute/method can be accessed anywhere.(+) A private attribute/method can only be accessed within its class.  This means that they cannot be accessed in methods defined in subclasses.(-) A protected attribute/method can be accessed within its class and by derived subclasses.  Making the attributes in the superclass protected makes them accessible to the methods defined in the subclass. (#)
Static data structure,A data structure that has a fixed size.  I.e. once created  its size does not change whilst the program is being executed. Static data structures typically store data in consecutive memory locations.  E.g. arrays are static structures.  Static data structures can waste memory if the number of data items stored is small relative to the size of the structure.
Dynamic data structure,The size of a dynamic data structure can change whilst the program is being executed.  They only take up as much memory as is required  however they require memory to store pointers to the next items.
Queue,A data structure where new items are added to one end and removed from the other end.  (First In First Out).  They are often implemented as a 'circular' structure.  Priority queues are special queues where the position of a data item in the queue depends on some measure of priority.  Items within the queue that are of the same priority will be removed using FIFO rule.  
Stack,A data structure where data items are added and removed from the same point i.e. the top of the stack. (First In Last Out) pop – remove the item at the top of the stack push – push a new item onto the stack peek – look at the item at the top of the stack without removing it.
Graph,A structure whereby nodes(vertices) are connected by edges(arcs) which represent some relationship between the nodes.  E.g. Towns connected by roads.
Connected graph,A graph where it is possible to go from any node to any other node by following the edges.
Tree,A tree is a connected  undirected graph that has no cycles (loops).
Rooted Tree,A tree where one node has been designated as the root (starting point).  It has parent-child relationship between the nodes.  The root is the only node with a parent.
Binary Tree,A rooted tree where each node has at most two children.  A common application is a binary search tree.
Hash Table,A structure that creates a mapping between keys and values.  To add an item to the table  a hashing algorithm is applied to a key to give an address to a location in the table.  The location at that address is accessed and if it is empty the key and values are stored there.  If the location is not empty  a collision has occurred. This can be resolved by sequentially searching through the table  starting at the address generated  until an empty location is found.  The item is then placed there.  If the end of the table is reached before finding an empty slot  the search continues from the start of the table.
Dictionary,A collection of key-value pairs in which the value is accessed via an associated key.  (Note: a dictionary can be implemented using a hash table)  The value can be a single data value  an entire record or any other data type or data structure including another dictionary!
Vector,A vector usually represents a geometric point in space and can be represented as a list of numbers  a dictionary  a 1-dim array  etc.
Breadth First,Used for finding the shortest path for an unweighted graph.
Depth First,Used for navigating a path though a maze.
Pre order traversal,Used for copying the contents of a tree.
In order traversal,Used outputting the contents of a binary search tree in order.
Post order traversal,Used for Infix to RPN conversions 
Reverse Polish (RPN)/Post-fix,A method of representing expressions where the operator is given after the operands rather than in between them (in fix).
Linear Search Complexity,Time complexity O(n)
Binary Search Complexity,Time complexity (log n)
Bubble sort Complexity,Time complexity O(n2)
Merge sort Complexity,Time complexity O(n log n)
Dijkstra's shortest path,A method of finding the shortest path between two nodes in a weighted graph. The algorithm finds the shortest distance and the path of the nodes visited in the shortest route.
Algorithm,A sequence of steps that can be followed to perform a task and which always terminates.
Representational abstraction,A representation that is arrived at by removing unnecessary details.
Abstraction by generalisation or categorisation,A grouping by common characteristics to arrive at a hierarchical relationship of the 'is a kind of' type.
Information hiding,The process of hiding all details of an object that do not contribute to its essential characteristics.
Procedural abstraction,The result of abstracting away actual values used in any particular computation to end up with a computational pattern (generic method) – i.e. a procedure
Functional Abstraction,A functional abstraction takes procedural abstraction one step further in that the actual method of computation is hidden.  
Data abstraction,A methodology that enables how an object is used to be isolated from how the object is constructed.  E.g. most cars can be driven (used) in the same way even though they may be constructed very differently.
Problem abstraction/reduction,Details are removed until the problem is represented in a way that it is possible to solver because the problem reduces to one that has already been solved.
Decomposition,Breaking a problem into a number of sub-problems  so that each sub-problem accomplishes an identifiable task  which might be further sub-divided.
Composition,Combining procedures/subroutines to form complex procedures.
Automation,Putting models into action to solve problems.
Finite state machine,A machine that consists of a fixed set of possible states with a set of allowable inputs that change the state and a set of possible outputs.
Accepting State,If after running through the inputs for a finite machine the machine ends up in this state  the input is accepted – i.e. it is valid.  The accepting state is indicated using a double ring.
State Transition Diagram,A way of describing a finite state machine graphically.  Each state is represented by a circle and each transition by an arrow labelled with the input that causes the transition plus any output resulting from the transition.
State Transition Table,A table which shows the effect on the current state of a finite state machine of particular inputs and any corresponding output.
Set,An unordered collection of values in which each value occurs at most once.
Finite set,A set whose elements can be counted off by natural numbers up to a particular number.
Infinite set,A set with an infinite number of elements.  E.g. set of natural numbers  set of real numbers.
Countable set,A countable set is a set with the same cardinality (number of elements) as some subset of the set of natural numbers.  
Countably infinite set,A infinite set where the elements can be counted off by natural numbers.
Set cardinality,The cardinality of a set is the number of elements in the set.
Cartesian Product,If A ={a  b} and B={1 2 3} the cartesian product of A and B = {(a 1)  (a 2)  (a 3)  (b 1)  (b 2)  (b 3)}
Subset/Proper subset,A is a subset of B if every element in A is also in B.  A is a proper subset of B if every element in A is also in B but there is a least one element in B that is not in A.
Regular expressions,A way of describing a set and which allows particular types of language to be described in short-hand.
Regular language,A regular language is any language that can be represented by a regular expression and that an FSM will accept.
Backus-Naur Form,A more flexible way of representing the rules of syntax of a language.
Big O notation,A way of expressing the time complexity of algorithms.
Tractable problems,A tractable problem is a problem that has a polynomial or less time solution.
Intractable problems,An intractable problem is solvable but doesn't have a polynomial or less time solution.  It is solvable but the time taken to solve it is impractical for all but the smallest inputs.
Computable and non-computable problems,Computable problems can be solved algorithmically  non-computable problems can't.
Halting problem,"""Is it possible to write a program that can take any other program and its data as input  and tell  without running the input program  whether or not it will terminate.""  The answer is no.  It shows that not all problems are computable/solvable."
Turing machines,A 'machine' containing a finite set of states in a state transition diagram  a finite alphabet of symbols  an infinite tape with marked off square and a read-write head that can travel along the tape one square at a time.  Any program run a computer can be expressed as a Turing machine. They define what is computable.
Universal Turing Machine (UTM),A  Universal Turing machine (UTM) is a Turing machine that can execute other Turing machines by simulating the behaviour of any Turing machine.  It faithfully executes operations on the data precisely as the simulated Turing machine does.
UTM behavess,A UTM behaves like an interpreter – it works its way through a set of instructions identifying the next instruction then executing it.
Consequence ofs,A consequence of a UTM is that programs and data are really the same thing.  A program is just a sequence of symbols that looks like any other piece of input  but when fed into a UTM  this input wakes up and begins to compute.
